Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Flower.yes=1 ,Total Number of flowers,,Flower No (FROM biomass prior to outlier removed),Total Seeds,Avg No Seeds Per Flower
SFB,Folly Beach,Short,4,30,Tall,FB,allopatric,TFB,TFB 1,B,12-Dec,347,1,1,1,,1,98,98
SFJ,Fort Johnson,Short,5,1,Short,FJ,sympatric,SFJ,SFJ 20,D,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,2,Tall,FB,allopatric,TFB,TFB 1,A,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,3,Tall,FJ,allopatric,TFJ,TFJ 13,A,12-Dec,347,0,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,4,Tall,FJ,allopatric,TFJ,TFJ 9,C,12-Dec,347,0,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,5,Short,FJ,sympatric,SFJ,SFJ 25,H,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,6,Short,FB,sympatric,SFB,SFB 4,D,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,7,Short,BI,sympatric,SBI,SBI 1,C,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,8,Short,FB,sympatric,SFB,SFB 6,E,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,9,Tall,FJ,allopatric,TFJ,TFJ 15,B,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,10,Short,FJ,sympatric,SFJ,SFJ 22,F,12-Dec,347,1,0,,,1,61,61
SFJ,Fort Johnson,Short,5,11,Tall,FB,allopatric,TFB,TFB 5,D,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,12,Tall,BI,allopatric,TBI,TBI 14,C,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,13,Short,BI,sympatric,SBI,SBI 10,A,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,14,Short,BI,sympatric,SBI,SBI 16,G ,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,15,Tall,FJ,allopatric,TFJ,TFJ 24,D,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,16,Tall,FB,allopatric,TFB,TFB 7,C,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,17,Short,FJ,sympatric,SFJ,SFJ 8,F,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,18,Tall,BI,allopatric,TBI,TBI 6,A,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,19,Tall,FJ,allopatric,TFJ,TFJ 5,G ,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,20,Short,FJ,sympatric,SFJ,SFJ 13,F,12-Dec,347,1,1,1,,1,150,150
SFJ,Fort Johnson,Short,5,21,Tall,BI,allopatric,TBI,TBI 11,C,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,22,Short,BI,sympatric,SBI,SBI 20,C,12-Dec,347,0,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,23,Tall,FB,allopatric,TFB,TFB 3,A,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,24,Short,FB,sympatric,SFB,SFB 25,C,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,25,Tall,BI,allopatric,TBI,TBI 1,A,12-Dec,347,1,1,1,,1,1,1
SFJ,Fort Johnson,Short,5,26,Tall,BI,allopatric,TBI,TBI 4,D,12-Dec,347,0,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,27,Tall,FB,allopatric,TFB,TFB 4,A,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,28,Short,FB,sympatric,SFB,SFB 12,F,12-Dec,347,1,0,,,NA,NA,NA
