Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial,Flower.yes=1,Time,Total Number of flowers
SFJ,Fort Johnson,Short,1,17,Short,FJ,sympatric,sympatric,SFJ,SFJ 8,F,1,0,30,
SFJ,Fort Johnson,Short,1,18,Tall,BI,allopatric,allopatric,TBI,TBI 6,A,1,0,30,
SFJ,Fort Johnson,Short,1,19,Tall,FJ,allopatric,allopatric,TFJ,TFJ 5,G ,1,0,30,
SFJ,Fort Johnson,Short,1,20,Short,FJ,sympatric,sympatric,SFJ,SFJ 13,F,1,1,18,1
SFJ,Fort Johnson,Short,1,21,Tall,BI,allopatric,allopatric,TBI,TBI 11,C,1,0,30,
SFJ,Fort Johnson,Short,1,22,Short,BI,sympatric,allopatric,SBI,SBI 20,C,0,0,30,
SFJ,Fort Johnson,Short,1,23,Tall,FB,allopatric,allopatric,TFB,TFB 3,A,1,0,30,
SFJ,Fort Johnson,Short,1,24,Short,FB,sympatric,allopatric,SFB,SFB 25,C,1,0,30,
SFJ,Fort Johnson,Short,1,25,Tall,BI,allopatric,allopatric,TBI,TBI 1,A,1,1,23,1
SFJ,Fort Johnson,Short,1,26,Tall,BI,allopatric,allopatric,TBI,TBI 4,D,0,0,30,
SFJ,Fort Johnson,Short,1,27,Tall,FB,allopatric,allopatric,TFB,TFB 4,A,1,0,30,
SFJ,Fort Johnson,Short,1,28,Short,FB,sympatric,allopatric,SFB,SFB 12,F,1,0,30,
SFJ,Fort Johnson,Short,1,29,Short,BI,sympatric,allopatric,SBI,SBI 6,G,NA,0,30,
SFJ,Fort Johnson,Short,1,30,Short,FB,sympatric,allopatric,SFB,SFB 9,D,NA,0,30,
SFJ,Fort Johnson,Short,2,1,Short,FJ,sympatric,sympatric,SFJ,SFJ 7,E,0,0,30,
SFJ,Fort Johnson,Short,2,2,Tall,FJ,allopatric,allopatric,TFJ,TFJ 17,F,1,0,30,
SFJ,Fort Johnson,Short,2,3,Short,FB,sympatric,allopatric,SFB,SFB 15,E,1,0,30,
SFJ,Fort Johnson,Short,2,4,Short,FJ,sympatric,sympatric,SFJ,SFJ 6,F,1,0,30,
SFJ,Fort Johnson,Short,2,5,Tall,FB,allopatric,allopatric,TFB,TFB 12,B,1,0,30,
SFJ,Fort Johnson,Short,2,6,Short,FJ,sympatric,sympatric,SFJ,SFJ 9,E,1,0,30,
SFJ,Fort Johnson,Short,2,7,Short,FB,sympatric,allopatric,SFB,SFB 23,E,1,1,22,2
SFJ,Fort Johnson,Short,2,8,Short,BI,sympatric,allopatric,SBI,SBI 9,E,1,0,30,
SFJ,Fort Johnson,Short,2,9,Tall,BI,allopatric,allopatric,TBI,TBI 3,D,1,0,30,
SFJ,Fort Johnson,Short,2,10,Short,FJ,sympatric,sympatric,SFJ,SFJ 16,G,1,1,19,1
SFJ,Fort Johnson,Short,2,11,Tall,FJ,allopatric,allopatric,TFJ,TFJ 19,A,1,0,30,
SFJ,Fort Johnson,Short,2,12,Tall,FB,allopatric,allopatric,TFB,TFB 17,F,1,0,30,
SFJ,Fort Johnson,Short,2,13,Short,FJ,sympatric,sympatric,SFJ,SFJ 12,C,0,0,30,
SFJ,Fort Johnson,Short,2,14,Tall,BI,allopatric,allopatric,TBI,TBI 19,H,1,0,30,
SFJ,Fort Johnson,Short,2,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 1 ,B,1,0,30,
SFJ,Fort Johnson,Short,2,16,Short,BI,sympatric,allopatric,SBI,SBI 19,H,1,0,30,
SFJ,Fort Johnson,Short,2,17,Short,BI,sympatric,allopatric,SBI,SBI 15,F,1,0,30,
SFJ,Fort Johnson,Short,2,18,Tall,BI,allopatric,allopatric,TBI,TBI 21,E,1,0,30,
SFJ,Fort Johnson,Short,2,19,Tall,FJ,allopatric,allopatric,TFJ,TFJ 16,H,1,0,30,
SFJ,Fort Johnson,Short,2,20,Tall,FB,allopatric,allopatric,TFB,TFB 13,C,1,0,30,
SFJ,Fort Johnson,Short,2,21,Short,FB,sympatric,allopatric,SFB,SFB 2,B,1,0,30,
SFJ,Fort Johnson,Short,2,22,Short,BI,sympatric,allopatric,SBI,SBI 2 ,H,1,0,30,
SFJ,Fort Johnson,Short,2,23,Tall,FB,allopatric,allopatric,TFB,TFB 10,G ,1,0,30,
SFJ,Fort Johnson,Short,2,24,Tall,FJ,allopatric,allopatric,TFJ,TFJ 20,H,1,0,30,
SFJ,Fort Johnson,Short,2,25,Short,FB,sympatric,allopatric,SFB,SFB 11,H,1,0,30,
SFJ,Fort Johnson,Short,2,26,Tall,BI,allopatric,allopatric,TBI,TBI 17,B,1,0,30,
SFJ,Fort Johnson,Short,2,27,Tall,FB,allopatric,allopatric,TFB,TFB 25,E,0,0,30,
SFJ,Fort Johnson,Short,2,28,Tall,BI,allopatric,allopatric,TBI,TBI 22,E,1,0,30,
