Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Week.to.death,Surivial_Dec,Status_Dec_survive=0
TFB,Folly Beach,Tall,2,7,Tall,BI,sympatric,allopatric,TBI,TBI 1,F,10,0,1
TFB,Folly Beach,Tall,2,8,Tall,FB,sympatric,sympatric,TFB,TFB 17,H,30,1,0
TFB,Folly Beach,Tall,2,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,G,4,0,1
TFB,Folly Beach,Tall,2,10,Tall,FJ,sympatric,allopatric,TFJ,TFJ 1,E,30,1,0
TFB,Folly Beach,Tall,2,11,Short,FB,allopatric,allopatric,SFB,SFB 2,,30,1,0
TFB,Folly Beach,Tall,2,12,Tall,FB,sympatric,sympatric,TFB,TFB 10,A,14,0,1
TFB,Folly Beach,Tall,2,13,Short,BI,allopatric,allopatric,SBI,SBI 16,D,14,0,1
TFB,Folly Beach,Tall,2,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 6,D,7,0,1
TFB,Folly Beach,Tall,2,15,Short,BI,allopatric,allopatric,SBI,SBI 1,H,30,1,0
TFB,Folly Beach,Tall,2,16,Tall,BI,sympatric,allopatric,TBI,TBI 19,C,22,0,1
TFB,Folly Beach,Tall,2,17,Short,FB,allopatric,allopatric,SFB,SFB 11,D,14,0,1
TFB,Folly Beach,Tall,2,18,Short,FJ,allopatric,allopatric,SFJ,SFJ 20,A,14,"many NA, then dead in Aug??",1
TFB,Folly Beach,Tall,2,19,Short,FB,allopatric,allopatric,SFB,SFB 23,C,14,0,1
TFB,Folly Beach,Tall,2,20,Tall,BI,sympatric,allopatric,TBI,TBI 6,B,22,0,1
TFB,Folly Beach,Tall,2,21,Short,FB,allopatric,allopatric,SFB,SFB 15,F,30,1,0
TFB,Folly Beach,Tall,2,22,Tall,FJ,sympatric,allopatric,TFJ,TFJ 24,B,30,1,0
TFB,Folly Beach,Tall,2,23,Short,FJ,allopatric,allopatric,SFJ,SFJ 8,A,30,1,0
TFB,Folly Beach,Tall,2,24,Tall,FB,sympatric,sympatric,TFB,TFB 13,B,30,1,0
TFB,Folly Beach,Tall,2,25,Short,BI,allopatric,allopatric,SBI,SBI 20,D,30,1,0
TFB,Folly Beach,Tall,2,26,Tall,FB,sympatric,sympatric,TFB,TFB 25,A,30,1,0
TFB,Folly Beach,Tall,2,27,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,C,30,1,0
TFB,Folly Beach,Tall,2,28,Short,FB,allopatric,allopatric,SFB,SFB 25,H,30,1,0
TFB,Folly Beach,Tall,2,29,Tall,FJ,sympatric,allopatric,TFJ,TFJ 13,B,30,1,0
TFB,Folly Beach,Tall,2,30,Short,BI,allopatric,allopatric,SBI,SBI 9,A,14,0,1
TFJ,Fort Johnson,Tall,1,1,Tall,BI,sympatric,allopatric,TBI,TBI 17,G,30,1,0
TFJ,Fort Johnson,Tall,1,2,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,F,18,0,1
TFJ,Fort Johnson,Tall,1,3,Short,BI,allopatric,allopatric,SBI,SBI 2,A,14,0,1
TFJ,Fort Johnson,Tall,1,4,Tall,FJ,sympatric,sympatric,TFJ,TFJ 20,D,14,0,1
TFJ,Fort Johnson,Tall,1,5,Tall,FB,sympatric,allopatric,TFB,TFB 12,E,14,0,1
TFJ,Fort Johnson,Tall,1,6,Short,FB,allopatric,allopatric,SFB,SFB 19,C,14,0,1
TFJ,Fort Johnson,Tall,1,7,Tall,FJ,sympatric,sympatric,TFJ,TFJ 17,B,30,1,0
